"ID","INCOME_RANGE_CODE","EMPLOYMENT_LVL_CODE","ENGLISH_LANGUAGE_NATIVE","HIGHEST_ED_LVL_CODE_MOTHER","HIGHEST_ED_LVL_CODE_FATHER"
856,"09-GE120K","1","Y","05-BACC","05-BACC"
1747,"02-LT35K","3","Y","05-BACC","05-BACC"
9882,"06-LT85K","1","N","05-BACC","05-BACC"
8250,"02-LT35K","3","Y","03-SOMECOL","02-HS_GRAD"
9291,"02-LT35K","3","Y","02-HS_GRAD","04-ASSOC"
2829,"01-LT25K","1","Y","04-ASSOC","04-ASSOC"
1659,"03-LT45K","3","Y","01-HS_DNF","01-HS_DNF"
7271,"03-LT45K","3","Y","02-HS_GRAD","01-HS_DNF"
1015,"04-LT55K","3","Y","02-HS_GRAD","02-HS_GRAD"
8006,"06-LT85K",NA,"Y","02-HS_GRAD","02-HS_GRAD"
8136,"06-LT85K",NA,"Y","04-ASSOC","04-ASSOC"
1201,"02-LT35K","2","Y","02-HS_GRAD","02-HS_GRAD"
9353,"02-LT35K","3","N","01-HS_DNF","01-HS_DNF"
8561,"03-LT45K","2","Y","05-BACC","05-BACC"
5253,"03-LT45K","3","Y","03-SOMECOL","03-SOMECOL"
6210,"04-LT55K","1","Y","02-HS_GRAD","00-UNKNOWN"
6312,"03-LT45K","3","Y","00-UNKNOWN","00-UNKNOWN"
5482,"04-LT55K","3","N","02-HS_GRAD","02-HS_GRAD"
4475,"03-LT45K","3","Y","05-BACC","05-BACC"
9852,"01-LT25K","3","Y","02-HS_GRAD","00-UNKNOWN"
8811,"05-LT70K","2","Y","04-ASSOC","03-SOMECOL"
4906,"08-LT120K",NA,"Y","04-ASSOC","06-MASTER"
8499,"03-LT45K","2","Y","00-UNKNOWN","00-UNKNOWN"
4603,"01-LT25K","3","Y","02-HS_GRAD","02-HS_GRAD"
3020,"03-LT45K","2","N","01-HS_DNF","03-SOMECOL"
6052,"07-LT100K","3","Y","02-HS_GRAD","05-BACC"
9487,"08-LT120K","3","Y","01-HS_DNF","01-HS_DNF"
5915,"02-LT35K","3","N","02-HS_GRAD","02-HS_GRAD"
8516,"06-LT85K","2","Y","02-HS_GRAD","01-HS_DNF"
8734,"05-LT70K","1","Y","02-HS_GRAD","01-HS_DNF"
4434,"04-LT55K","3","Y","04-ASSOC","02-HS_GRAD"
